team,AvgValue,AvgFifa,AvgRating,Avg90,AvgGoal,Points,Wins,Draws,Losses,PPG
Bournemouth17,5.5333333,75.066666,6.7119999,-.40000001,.75118381,44,11,11,16,1.1578947
Brighton17,4.5666666,74.400002,6.7086668,-.48133335,.66259843,40,9,13,16,1.0526316
Burnley17,4.3333335,74.26667,6.8740001,-.068666667,.97224635,54,14,12,12,1.4210526
Chelsea17,36,83.800003,6.9706669,.67133331,1.7261566,70,21,7,10,1.8421053
Crystal Palace17,11,76.26667,6.8959999,-.24666667,.85095382,44,11,11,16,1.1578947
Everton17,12.483334,76.26667,6.7160001,-.29533333,.81916803,49,13,10,15,1.2894737
Huddersfield17,2.9666667,73,6.6053333,-.78666669,.48899195,37,9,10,19,.97368419
Leicester City17,9.3999996,77,6.7800002,-.046,.98032135,47,12,11,15,1.2368422
Liverpool17,23.466667,79.533333,7.0186667,1.2666667,2.305445,75,21,12,5,1.9736842
Manchester City17,34.533333,83.333336,7.2173333,2.0226667,3.8582327,100,32,4,2,2.6315789
Manchester Utd17,30.266666,82.666664,7.0233331,.96266669,2.3026881,81,25,6,7,2.1315789
Newcastle Utd17,6.6333332,74.26667,6.6866665,-.25400001,.8278026,44,12,8,18,1.1578947
Southampton17,11.6,76.866669,6.6960001,-.52333331,.6461705,36,7,15,16,.94736844
Stoke City17,8.4333334,77.26667,6.7446666,-.81199998,.54319018,33,7,12,19,.86842108
Swansea City17,7.3333335,76,6.6240001,-.74666667,.51029122,33,8,9,21,.86842108
Tottenham17,28.466667,82.666664,7.0040002,1.0206667,2.1692345,77,23,8,7,2.0263157
Watford17,7.6666665,76.73333,6.6833334,-.55599999,.67849857,41,9,13,16,1.0789474
West Brom17,6.8000002,77.199997,6.6753335,-.65733331,.55972093,31,6,13,19,.81578946
West Ham17,11.4,77.533333,6.7486668,-.528,.70814008,42,10,12,16,1.1052631
Arsenal18,33.400002,81,6.7200003,.57066667,1.4374909,70,21,7,10,1.8421053
Bournemouth18,14.2,76.199997,6.6879997,-.30866668,.84632856,45,13,6,19,1.1842105
Brighton18,8.7166662,75.533333,6.6413331,-.67666668,.57495213,36,9,9,20,.94736844
Burnley18,9.3666668,76.26667,6.6913333,-.55333334,.699368,40,11,7,20,1.0526316
Cardiff City18,5.2333331,72.933334,6.6786666,-.87400001,.50948983,34,10,4,24,.89473683
Chelsea18,50.666668,83.666664,6.9286666,.61000001,1.6182256,72,21,9,8,1.8947369
Crystal Palace18,14.066667,77,6.8113332,-.081333332,.95078743,49,14,7,17,1.2894737
Everton18,26.266666,78.933334,6.7793336,.18000001,1.1743704,54,15,9,14,1.4210526
Fulham18,16.607143,75.800003,6.6160002,-1.1926666,.4263359,26,7,5,26,.68421054
Huddersfield18,6.4000001,74.400002,6.4406667,-1.396,.30263951,16,3,7,28,.42105263
Leicester City18,21.933332,78.133331,6.8326669,.11866666,1.0967972,52,15,7,16,1.3684211
Liverpool18,64,82.73333,7.0433335,1.7253333,4.1372113,97,30,7,1,2.5526316
Manchester City18,57,84.333336,7.1293335,1.91,4.4302058,98,32,2,4,2.5789473
Manchester Utd18,42.333332,82.933334,6.802,.38666666,1.3089453,66,19,9,10,1.7368422
Newcastle Utd18,9.1333332,75.599998,6.7453332,-.11933333,.91951627,45,12,9,17,1.1842105
Southampton18,12.666667,75.26667,6.7373333,-.49533334,.7235989,39,9,12,17,1.0263158
Tottenham18,52.200001,83.066666,6.9106665,.71866667,1.7369963,71,23,2,13,1.8684211
Watford18,10.066667,76.866669,6.7293334,-.14866666,.91373444,50,14,8,16,1.3157895
West Ham18,17.233334,77.199997,6.822,-.048666667,.98171955,52,15,7,16,1.3684211
Wolves18,17.933332,76,6.7940001,.033333335,1.0324569,57,16,9,13,1.5
Arsenal14,18.333334,78.066666,7.1806664,.97333336,2.1917217,75,22,9,7,1.9736842
Aston Villa14,5.3333335,74.599998,6.7233334,-.63933331,.58267701,38,10,8,20,1
Burnley14,2.5999999,69.533333,6.8106666,-.67866665,.5379256,33,7,12,19,.86842108
Chelsea14,27.6,82.466667,7.0953331,1.0746666,2.3453765,87,26,9,3,2.2894738
Crystal Palace14,3.9000001,73.066666,6.9026666,-.15466666,.90426463,48,13,9,16,1.2631578
Everton14,10.283334,78.066666,6.8720002,-.051333334,.98791409,47,12,11,15,1.2368422
Hull City14,3.7,71.533333,6.8106666,-.45133334,.66701448,35,8,11,19,.92105263
Leicester City14,2.5999999,70.26667,6.8586664,-.292,.81300294,41,11,8,19,1.0789474
Liverpool14,15.666667,79.333336,6.9653335,.088,1.0759569,62,18,8,12,1.6315789
Manchester City14,23.066668,82.066666,7.1500001,1.186,2.2307642,79,24,7,7,2.0789473
Manchester Utd14,22.6,81.599998,7.0973334,.73533332,1.8193911,70,20,10,8,1.8421053
Newcastle Utd14,6.0999999,73.333336,6.744,-.56866664,.68382591,39,10,9,19,1.0263158
QPR14,4.1666665,73.866669,6.8506665,-.71200001,.62766594,30,8,6,24,.78947371
Southampton14,10.733334,75.666664,6.954,.48533332,1.599921,60,18,6,14,1.5789474
Stoke City14,5.1999998,74.400002,6.9353333,.14066666,1.1354908,54,15,9,14,1.4210526
Sunderland14,3.8,73.933334,6.8186665,-.56199998,.60272467,38,7,17,14,1
Swansea City14,7.1333332,75.26667,6.9613333,-.033333335,.98126936,56,16,8,14,1.4736842
Tottenham14,12.833333,76.666664,7.0173335,.116,1.0841707,64,19,7,12,1.6842105
West Brom14,4.2333331,74,6.8193336,-.26866665,.79868788,44,11,11,16,1.1578947
West Ham14,7.3166666,74.199997,6.9520001,-.0080000004,.99977458,47,12,11,15,1.2368422
